,gene,modcts,modlist
64,MTHFD1,0.003450060376056581,"[N-acetylmethionine on M], [Hydroxylation on P]"
65,ALYREF,0.04958725805962919,"[Dimethylation on R], [N6-acetyllysine on K], [Phosphoserine on S], [Butyrylation on K], [Citrullination on R], [N6-methyllysine on K], [N-acetylalanine on A], [Asymmetric dimethylarginine on R], [Dimethylation on R], [N6-acetyllysine on K], [Phosphoserine on S], [Butyrylation on K], [Citrullination on R], [N6-methyllysine on K]"
66,NELFB,0.004105090311986864,[Phosphoserine on S]
67,VCL,0.0,
68,H3F3A,0.15822784810126583,"[N6,N6-dimethyllysine on K], [N6-methyllysine on K], [N6,N6,N6-trimethyllysine on K], [N6-acetyllysine on K], [N6-acetyllysine on K], [Trimethylation on K], [N6-acetyllysine on K], [N6-butyryllysine on K], [N6-acetyllysine on K], [N6,N6-dimethyllysine on K], [N6-methyllysine on K], [Acetylation on K], [N6,N6-dimethyllysine on K], [N6-methyllysine on K], [N6,N6-dimethyllysine on K], [N6-methyllysine on K], [Hydroxylation on N]"
69,CLUH,0.0018961150430077097,"[Hydroxylation on P], [Hydroxylation on P]"
70,HSPA1A,0.01629915942906373,"[Hydroxylation on P], [Acetylation on K], [Hydroxylation on P], [Omega-N-methylarginine on R], [N6,N6-dimethyllysine on K], [N6,N6,N6-trimethyllysine on K], [Hydroxylation on P]"
72,RBBP7,0.0,
73,ITGB5,0.0,
74,AKAP12,0.007652280379553107,"[Phosphoserine on S], [Phosphoserine on S], [Phosphoserine on S]"
75,COG3,0.005032206119162641,[N-acetylalanine on A]
76,FLNA,0.009189393397931366,"[Hydroxylation on P], [Hydroxylation on K], [Acetylation on K], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P], [Methylation on K], [Hydroxylation on K], [Citrullination on R], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P], [Phosphorylation on S], [Hydroxylation on P], [Hydroxylation on P], [Phosphorylation on S], [Hydroxylation on P], [Hydroxylation on N], [Hydroxylation on P], [Hydroxylation on K], [Acetylation on K], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P], [Methylation on K], [Hydroxylation on K], [Citrullination on R], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P], [Phosphorylation on S], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on N]"
77,HSPB1,0.0689289501590668,"[Phosphoserine on S], [Hydroxylation on P], [Hydroxylation on P], [Phosphorylation on S], [Hydroxylation on N], [Hydroxylation on P], [Hydroxylation on K], [Acetylation on K], [Hydroxylation on P], [Trimethylation on K], [Methylation on K], [Acetylation on K], [Hydroxylation on N]"
78,GSR,0.0,
79,KIF1BP,0.0,
80,COPB1,0.0,
81,ILF3,0.00392480081635857,"[Phosphoserine on S], [Sulfonation on Y]"
82,SFN,0.01240694789081886,"[Hydroxylation on K], [Acetylation on K]"
83,SERPINH1,0.027453133579104245,"[Hydroxylation on P], [Acetylation on K], [Methylation on R], [Methylation on K], [Hydroxylation on N], [Hydroxylation on K], [HexNAc on T]"
84,CDV3,0.004930966469428008,[Glu to PyroGlu on Q]
85,PELP1,0.0029498525073746312,[N-acetylalanine on A]
86,PLEC,0.005442653650095015,"[Dimethylation on R], [Hydroxylation on N], [Hydroxylation on P], [Hydroxylation on P], [Dimethylation on K], [Hydroxylation on P], [Methylation on R], [Phosphorylation on T], [Hydroxylation on P], [Hydroxylation on P], [Citrullination on R], [Phosphoserine on S], [Phosphorylation on Y], [Dimethylation on R], [Hydroxylation on N], [Hydroxylation on P], [Hydroxylation on P], [Citrullination on R], [Hydroxylation on K], [Dimethylation on K], [Hydroxylation on P], [Methylation on R], [Phosphorylation on T], [Hydroxylation on P], [Hydroxylation on P], [Citrullination on R], [Phosphoserine on S], [Phosphorylation on Y]"
87,RBFOX2,0.007780890133831309,"[Omega-N-methylarginine on R], [Omega-N-methylarginine on R], [Omega-N-methylarginine on R]"
88,TRAP1,0.0,
89,AHCY,0.013616557734204794,"[N-acetylserine on S], [Hydroxylation on N], [Hydroxylation on N]"
90,PKM,0.021588274635744385,"[Acetylation on K], [Acetylation on K], [Malonylation on K], [Citrullination on R], [Butyrylation on K], [Hydroxylation on P], [Hydroxylation on N], [N-acetylserine on S], [Phosphotyrosine on Y], [Acetylation on K], [Acetylation on K], [Malonylation on K], [Citrullination on R], [Butyrylation on K], [N6-succinyllysine on K], [Hydroxylation on P], [HexNAc on T], [Hydroxylation on N], [Hydroxylation on P]"
91,PREB,0.0,
92,MVD,0.005681818181818182,[N-acetylalanine on A]
93,YBX1,0.007014590347923681,[Phosphoserine on S]
94,MATR3,0.0,"[Phosphoserine on S], [Phosphoserine on S]"
95,EPB41L2,0.0,
96,EIF4G2,0.002345820920030965,[N-acetylmethionine on M]
97,CAVIN1,0.005827505827505828,[N-acetylmethionine on M]
98,PSMC1,0.0038520801232665635,[Acetylation on K]
99,CDK4,0.0,
100,AHNAK,0.01766622309916028,"[Phosphoserine on S], [Phosphoserine on S], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on K], [Formylation on K], [Hydroxylation on P], [Hydroxylation on K], [Phosphoserine on S], [Hydroxylation on P], [Hydroxylation on K], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on K], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on K], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on K], [Hydroxylation on P], [Hydroxylation on K], [Hydroxylation on P], [Hydroxylation on K], [Hydroxylation on P], [Hydroxylation on K], [Hydroxylation on P], [Hydroxylation on K], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on K], [Formylation on K], [Phosphoserine on S], [Methylation on K], [Formylation on K], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on K], [Formylation on K], [Nitrosylation on C], [Hydroxylation on P], [Hydroxylation on N], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on K], [Hydroxylation on N], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on K], [Carboxylation on D], [Citrullination on R], [Phosphoserine on S], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on K], [Formylation on K], [Phosphoserine on S], [Phosphothreonine on T], [Hydroxylation on P], [Hydroxylation on K], [Phosphoserine on S], [Formylation on K], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on K], [Formylation on K], [Phosphoserine on S], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on K], [HexNAc on S], [Hydroxylation on P], [Hydroxylation on P], [Phosphoserine on S], [Phosphoserine on S]"
101,HNRNPU,0.011019283746556474,"[N-acetylserine on S], [Hydroxylation on N], [Hydroxylation on N], [Hydroxylation on P]"
102,EXOC8,0.0,
103,MARS,0.0,
104,GPI,0.003895446223364887,"[Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P]"
105,AP2A1,0.002006944026331106,[Nitrosylation on C]
106,COPE,0.0,
107,MSN,0.0,
108,UFM1,0.0,
109,SSRP1,0.0,
110,ATP6V1A,0.0,
111,ACACA,0.001039652340257418,[N-acetylmethionine on M]
112,CNDP2,0.003395585738539898,[N-acetylalanine on A]
113,MAP2K2,0.00510204081632653,[Hydroxylation on P]
114,CLTC,0.004893564962074872,"[N-acetylalanine on A], [Methylation on K], [Hydroxylation on N], [Acetylation on K], [Hydroxylation on P]"
115,COMMD9,0.007652280379553107,[N-acetylalanine on A]
116,ENO1,0.02179598953792502,"[Sulfonation on Y], [Hydroxylation on N], [Hydroxylation on P], [Methylation on K], [N6-acetyllysine on K], [Hydroxylation on P], [N6-acetyllysine on K]"
117,COPA,0.0026449971494521603,"[Hydroxylation on P], [Hydroxylation on P]"
118,RAE1,0.004605747973470892,[Acetylation on X]
119,UGDH,0.0,
120,GRHPR,0.0,
121,FASN,0.005973715651135006,"[N-acetylmethionine on M], [HexNAc on T], [Acetylation on K], [Methylation on K], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P], [Acetylation on K], [Phosphothreonine on T]"
122,PLIN3,0.006776904310111141,"[Hydroxylation on N], [Phosphorylation on T]"
123,RANBP2,0.0007754342431761787,[Asymmetric dimethylarginine on R]
124,TNS1,0.0,
125,DDX3X,0.002288748512313467,[N-acetylserine on S]
126,ARPC2,0.0,
127,RAVER1,0.0,"[N-acetylalanine on A], [Phosphorylation on T]"
128,BLMH,0.004676174888940846,[Phosphorylation on Y]
129,RPA2,0.0,
130,SFPQ,0.008320159747067143,"[Asymmetric dimethylarginine on R], [Hydroxylation on P], [Omega-N-methylarginine on R]"
131,ARPC4,0.008753501400560224,[N-acetylthreonine on T]
132,PEBP1,0.013042911177774879,"[Hydroxylation on P], [Hydroxylation on P]"
133,KPNA4,0.0,
134,BCLAF1,0.021140713061543692,"[Phosphorylation on S], [Phosphorylation on S], [Phosphorylation on S], [Phosphorylation on S], [Phosphoserine on S], [Phosphorylation on S], [Phosphorylation on S], [Phosphorylation on S]"
135,CIAO2B,0.009295408068414203,[Acetylation on X]
136,EIF2AK2,0.005185377236193933,[Phosphoserine on S]
137,FSCN1,0.006650483822698101,"[N-acetylthreonine on T], [Hydroxylation on K]"
138,CCT7,0.008371002846140967,"[N-acetylmethionine on M], [Hydroxylation on N], [Omega-N-methylarginine on R]"
139,EIF2S3,0.0037169194171870353,[N-acetylalanine on A]
140,HNRNPUL2,0.0065301857837855495,"[Phosphoserine on S], [Acetylation on K]"
141,SMARCC1,0.0023815194093831865,[N-acetylalanine on A]
142,ACO2,0.0,
143,CTNNA1,0.0038060439978686153,"[Glu to PyroGlu on Q], [N-acetylthreonine on T]"
144,UQCRC1,0.010416666666666666,"[Pyridoxal phosphate on K], [Hydroxylation on P], [Hydroxylation on P]"
145,IGF2R,0.0,
146,VIM,0.07408542816268138,"[Phosphorylation on S], [Citrullination on R], [Butyrylation on K], [Formylation on K], [Methylation on K], [Acetylation on K], [Hydroxylation on K], [Methylation on R], [Formylation on K], [N6-acetyllysine on K], [Crotonylation on K], [Butyrylation on K], [Carboxylation on E], [Phosphoserine on S], [Methylation on K], [Hydroxylation on K], [Formylation on K], [Hydroxylation on N], [Hydroxylation on K], [Acetylation on K], [Citrullination on R], [Hydroxylation on N], [Phosphorylation on Y], [Phosphorylation on S], [Hydroxylation on P], [Hydroxylation on N], [Phosphorylation on S], [Phosphorylation on S], [Phosphoserine on S]"
147,MTOR,0.003566461000748957,"[N-acetylmethionine on M], [ADP-ribosylation on S]"
148,RRM1,0.0,
149,ACADVL,0.0,
150,MSH2,0.0,
151,ALDOA,0.009157509157509156,"[Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P]"
152,CIP2A,0.0,
153,RPN1,0.0,
154,RAB21,0.0103359173126615,[N-acetylalanine on A]
155,AHCTF1,0.007355104442483083,"[Hydroxylation on P], [Phosphoserine on S], [Phosphoserine on S], [Hydroxylation on K]"
156,ALDH7A1,0.0032548904729355855,"[Methylation on K], [Methylation on K], [Methylation on K]"
157,RPLP0,0.0,
158,LIMS1,0.007891414141414142,[Acetylation on X]
159,FERMT2,0.00294811320754717,[Methylation on K]
160,VDAC2,0.015631326320026055,"[N-acetylalanine on A], [Hydroxylation on N], [Phosphorylation on T], [Hydroxylation on N], [Phosphorylation on T]"
161,ACTN4,0.003951319740793425,"[Hydroxylation on K], [Methylation on R], [Citrullination on R], [Phosphorylation on S], [Phosphorylation on S]"
162,DNM1L,0.0044208007622209364,"[N-acetylmethionine on M], [Hydroxylation on N], [N-acetylmethionine on M], [Hydroxylation on N]"
163,HCFC1,0.01332057582057582,"[Hydroxylation on N], [Hydroxylation on K], [Omega-N-methylarginine on R], [HexNAc on T], [HexNAc on T], [HexNAc on S], [HexNAc on S], [Omega-N-methylarginine on R], [N-acetylalanine on A], [Hydroxylation on N], [Hydroxylation on K], [Omega-N-methylarginine on R], [HexNAc on T], [HexNAc on T], [HexNAc on S], [HexNAc on S], [Omega-N-methylarginine on R]"
164,SERBP1,0.021129141311697092,"[Phosphorylation on S], [Omega-N-methylarginine on R], [Phosphorylation on S], [Phosphorylation on S], [Phosphoserine on S]"
165,LGALS1,0.052375607931163484,"[N-acetylalanine on A], [Hydroxylation on N], [Methylation on K], [Hydroxylation on P], [Methylation on K], [Hydroxylation on N], [Methylation on K]"
166,MYL12A,0.026429680704310916,"[Hydroxylation on K], [Acetylation on K], [Hydroxylation on K], [Acetylation on K]"
167,MYL12B,0.02642706131078224,"[Hydroxylation on K], [Acetylation on K]"
168,MYL9,0.020764119601328904,"[Hydroxylation on K], [Acetylation on K]"
169,RPS7,0.026661926768574477,"[Hydroxylation on P], [Methylation on K], [Acetylation on K]"
170,ACTN1,0.00178903678259625,"[Hydroxylation on N], [Hydroxylation on K], [Hydroxylation on N]"
171,PICALM,0.0,
172,PPP1R13L,0.00309674222717701,[Dimethylation on R]
174,POLA2,0.0,
176,PRDX4,0.0,
179,UNK,0.0,
180,ATP2A2,0.0,
181,CHMP4B,0.0,
182,RPLP2,0.03260869565217391,"[Phosphorylation on S], [N6-acetyllysine on K], [Phosphoserine on S]"
183,PLS1,0.0,
184,SUCLG2,0.0,
185,BCCIP,0.0,
186,CCT2,0.007577671129072999,"[N-acetylalanine on A], [Hydroxylation on P], [Hydroxylation on P]"
187,CRMP1,0.0,
188,TKT,0.007162804371843924,"[Hydroxylation on N], [Acetylation on K], [N-acetylmethionine on M], [Hydroxylation on N], [Acetylation on K]"
189,PRKDC,0.0,
190,SEC16A,0.0,
191,RBBP4,0.011029411764705883,"[N-acetylalanine on A], [Hydroxylation on N], [Hydroxylation on K]"
192,RPS3,0.015241579027587257,"[Hydroxylation on N], [Methylation on R], [Phosphorylation on T]"
193,SPTAN1,0.0006651894683089972,"[Hydroxylation on N], [Hydroxylation on N]"
194,RPN2,0.0,
195,DPYSL2,0.004615952732644018,"[Dimethylation on K], [Phosphothreonine on T]"
196,RARS,0.002405002405002405,[Malonylation on K]
197,DCTN1,0.0017692852087756545,[Dimethylation on K]
198,EDC4,0.0015861686097232135,[N-acetylalanine on A]
199,MSH3,0.004397537379067722,[HexNAc on S]
200,TTC37,0.0,
201,TUBG1,0.0,
202,APEX1,0.0238231370306842,"[Hydroxylation on P], [Hydroxylation on P], [Acetylation on K], [Hydroxylation on K], [Methylation on R]"
203,SOD1,0.008325008325008324,[Hydroxylation on N]
204,MDH2,0.01305255830142708,"[Hydroxylation on P], [Acetylation on K], [Hydroxylation on P]"
205,ANKRD17,0.004766316108594866,"[Hydroxylation on N], [Hydroxylation on N], [Hydroxylation on N], [Hydroxylation on N]"
206,PHGDH,0.003894285940430003,"[Hydroxylation on N], [Hydroxylation on N]"
207,ARL8A,0.0,
208,ARL8B,0.0,
209,NOL10,0.0,
210,RFC4,0.0,
211,GSN,0.0,[Acetylation on X]
212,SRRM1,0.024582104228121928,"[N-acetylmethionine on M], [Phosphothreonine on T], [Phosphoserine on S], [Phosphorylation on S]"
213,CCT5,0.018333182227205643,"[Malonylation on K], [Malonylation on K], [Hydroxylation on N], [Hydroxylation on N], [Hydroxylation on P], [Methylation on R], [N-acetylalanine on A], [Hydroxylation on N], [Malonylation on K], [Malonylation on K], [Hydroxylation on N], [Hydroxylation on N], [Hydroxylation on P], [Methylation on R]"
214,EEF1G,0.003690854063630324,[N-acetylalanine on A]
215,KIAA2013,0.0,
216,EIF4G1,0.0022234020267325122,"[Hydroxylation on P], [Hydroxylation on P], [Phosphoserine on S]"
217,CTBP2,0.0,
218,PTBP2,0.006277463904582548,[N-acetylmethionine on M]
219,FEN1,0.004873294346978558,[Hydroxylation on P]
220,CRYAB,0.03447161861984302,"[N-acetylmethionine on M], [Carboxylation on D], [Hydroxylation on P], [Citrullination on R], [N-acetylmethionine on M], [Carboxylation on D], [Hydroxylation on P], [Citrullination on R]"
221,FLNC,0.006535126303883373,"[Hydroxylation on P], [Hydroxylation on K], [Acetylation on K], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on K], [Citrullination on R], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P], [Phosphoserine on S], [Hydroxylation on P]"
222,SPC24,0.0,
223,ARPC1B,0.004978096375945838,[Acetylation on X]
224,ARPC1A,0.004826254826254826,[Acetylation on X]
225,GNB1,0.004743833017077799,[N-acetylserine on S]
226,CAD,0.0013797555110143923,"[Phosphorylation on S], [N-acetylalanine on A], [Phosphorylation on S]"
227,NASP,0.003965736040609137,"[N-acetylalanine on A], [Hydroxybutyrylation on K]"
228,HECTD1,0.0020149927184087793,"[Hydroxylation on P], [Hydroxylation on P]"
229,MYH9,0.00900360144057623,"[N-acetylalanine on A], [Hydroxylation on N], [N6-acetyllysine on K], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P], [Methylation on K], [Acetylation on K], [Hydroxylation on P], [Hydroxylation on N], [Acetylation on K]"
230,HSP90B1,0.008442915338666443,"[Phosphorylation on S], [Hydroxylation on N], [Hydroxylation on K], [Hydroxylation on K]"
231,MYH10,0.0032302523903867688,"[Hydroxylation on N], [N6-acetyllysine on K], [Hydroxylation on P]"
232,RPL8,0.006176270767710456,[(3S)-3-hydroxyhistidine on H]
233,EPB41L3,0.00226220920769926,"[Phosphorylation on S], [Phosphorylation on T]"
234,RRP12,0.0,
